OPM	1PM PLC	ORD 10P	GB00BCDBXK43	SHRS	Shares	Financials	Financial Services	19/08/2013	United Kingdom	GBX	AIM		ASX1	AIMP
SPA	1SPATIAL PLC	ORD 10P	GB00BFZ45C84	SHRS	Shares	Industrials	Industrial Goods & Services	21/08/2018	United Kingdom	GBX	AIM		ASX1	AIMP
C21	21ST CENTURY TECHNOLOGY PLC	ORD 6.5P	GB0008866310	SHRS	Shares	Industrials	Industrial Goods & Services	15/04/2005	United Kingdom	GBX	AIM		ASX1	AIMP
III	3I GROUP PLC	ORD 73 19/22P	GB00B1YW4409	SHRS	Shares	Financials	Financial Services	16/07/2007	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SET1	FS10
3IN	3I INFRASTRUCTURE PLC	ORD NPV	JE00BF5FX167	SHRS	Shares	Financials	Financial Services	15/03/2018	Jersey	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	STMM	F25F
DDDD	4D PHARMA PLC	ORD 0.25P	GB00BJL5BR07	SHRS	Shares	Health Care	Health Care	18/02/2014	United Kingdom	GBX	AIM		AMSM	ASM8
FOUR	4IMPRINT GROUP PLC	ORD 38 6/13P	GB0006640972	SHRS	Shares	Consumer Services	Media	18/12/2006	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
SIXH	600 GROUP PLC	ORD 1P	GB0008121641	SHRS	Shares	Industrials	Industrial Goods & Services	16/04/1996	United Kingdom	GBX	AIM		ASQ1	AMQ1
7DIG	7DIGITAL GROUP PLC	ORD 1P	GB00BMH46555	SHRS	Shares	Consumer Services	Retail	10/06/2014	United Kingdom	GBX	AIM		ASX1	AIMP
888	888 HOLDINGS PLC	ORD 0.5P	GI000A0F6407	SHRS	Shares	Consumer Services	Travel & Leisure	11/10/2006	Gibraltar	GBX	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25F
88E	88 ENERGY LIMITED	ORD NPV (DI)	AU00000088E2	SHRS	Shares	Oil & Gas	Oil & Gas	06/03/2015	Australia	GBX	AIM		ASQ1	AMQ1
AA.	AA PLC	ORD 0.1P	GB00BMSKPJ95	SHRS	Shares	Industrials	Industrial Goods & Services	26/06/2014	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25T
ABBY	ABBEY PLC	ORD EUR0.32	IE0000020408	SHRS	Shares	Consumer Goods	Personal & Household Goods	21/09/2005	Ireland	GBX	AIM		ASQ1	AMQ1
ABC	ABCAM PLC	ORD 0.2P	GB00B6774699	SHRS	Shares	Health Care	Health Care	15/11/2010	United Kingdom	GBX	AIM		AMSM	AS50
ABDP	AB DYNAMICS PLC	ORD 1P	GB00B9GQVG73	SHRS	Shares	Industrials	Industrial Goods & Services	22/05/2013	United Kingdom	GBX	AIM		ASQ1	AMQ1
AAIF	ABERDEEN ASIAN INCOME FUND LTD	ORD NPV	GB00B0P6J834	SHRS	Shares	Financials	Financial Services	12/12/2006	Jersey	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
AAS	ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC	ORD 25P	GB0000100767	SHRS	Shares	Financials	Financial Services	12/12/2006	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ADIG	ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC	ORD 25P	GB0001297562	SHRS	Shares	Financials	Financial Services	31/10/2003	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
