OPM	1PM PLC	ORD 10P	GB00BCDBXK43	SHRS	Financials	Financial Services	19/08/2013	United Kingdom	GBX	£45.69	AIM		ASX1	AIMP
SPA	1SPATIAL PLC	ORD 10P	GB00BFZ45C84	SHRS	Industrials	Industrial Goods & Services	21/08/2018	United Kingdom	GBX	£43.43	AIM		ASX1	AIMP
C21	21ST CENTURY TECHNOLOGY PLC	ORD 6.5P	GB0008866310	SHRS	Industrials	Industrial Goods & Services	15/04/2005	United Kingdom	GBX	£3.03	AIM		ASX1	AIMP
III	3I GROUP PLC	ORD 73 19/22P	GB00B1YW4409	SHRS	Financials	Financial Services	16/07/2007	United Kingdom	GBX	£9,157.34	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SET1	FS10
3IN	3I INFRASTRUCTURE PLC	ORD NPV	JE00BF5FX167	SHRS	Financials	Financial Services	15/03/2018	Jersey	GBX	£1,977.46	MAIN MARKET	Premium Equity Closed Ended Investment Funds	STMM	F25F
DDDD	4D PHARMA PLC	ORD 0.25P	GB00BJL5BR07	SHRS	Health Care	Health Care	18/02/2014	United Kingdom	GBX	£111.99	AIM		AMSM	ASM8
FOUR	4IMPRINT GROUP PLC	ORD 38 6/13P	GB0006640972	SHRS	Consumer Services	Media	18/12/2006	United Kingdom	GBX	£558.90	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
SIXH	600 GROUP PLC	ORD 1P	GB0008121641	SHRS	Industrials	Industrial Goods & Services	16/04/1996	United Kingdom	GBX	£20.67	AIM		ASQ1	AMQ1
7DIG	7DIGITAL GROUP PLC	ORD 1P	GB00BMH46555	SHRS	Consumer Services	Retail	10/06/2014	United Kingdom	GBX	£17.98	AIM		ASX1	AIMP
888	888 HOLDINGS PLC	ORD 0.5P	GI000A0F6407	SHRS	Consumer Services	Travel & Leisure	11/10/2006	Gibraltar	GBX	£725.97	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25F
88E	88 ENERGY LIMITED	ORD NPV (DI)	AU00000088E2	SHRS	Oil & Gas	Oil & Gas	06/03/2015	Australia	GBX	£65.31	AIM		ASQ1	AMQ1
AA.	AA PLC	ORD 0.1P	GB00BMSKPJ95	SHRS	Industrials	Industrial Goods & Services	26/06/2014	United Kingdom	GBX	£593.76	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25T
ABBY	ABBEY PLC	ORD EUR0.32	IE0000020408	SHRS	Consumer Goods	Personal & Household Goods	21/09/2005	Ireland	GBX	£295.87	AIM		ASQ1	AMQ1
ABC	ABCAM PLC	ORD 0.2P	GB00B6774699	SHRS	Health Care	Health Care	15/11/2010	United Kingdom	GBX	£2,936.99	AIM		AMSM	AS50
ABDP	AB DYNAMICS PLC	ORD 1P	GB00B9GQVG73	SHRS	Industrials	Industrial Goods & Services	22/05/2013	United Kingdom	GBX	£241.28	AIM		ASQ1	AMQ1
AAIF	ABERDEEN ASIAN INCOME FUND LTD	ORD NPV	GB00B0P6J834	SHRS	Financials	Financial Services	12/12/2006	Jersey	GBX	£366.49	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
AAS	ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC	ORD 25P	GB0000100767	SHRS	Financials	Financial Services	12/12/2006	United Kingdom	GBX	£353.77	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ADIG	ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC	ORD 25P	GB0001297562	SHRS	Financials	Financial Services	31/10/2003	United Kingdom	GBX	£409.05	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
AEMC	ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED	ORD 1P	GG00B45L2K95	SHRS	Financials	Financial Services	10/11/2009	Guernsey	GBX	£251.88	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SET3	ON15
AFMC	ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED	ORD NPV	GG00B1W59J17	SHRS	Financials	Financial Services	15/06/2007	Guernsey	GBX	£43.57	AIM		ASX1	AIMP
AJIT	ABERDEEN JAPAN INVESTMENT TRUST PLC	ORD 10P	GB0003920757	SHRS	Financials	Financial Services	10/11/2006	United Kingdom	GBX	£88.21	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
ALAI	ABERDEEN LATIN AMERICAN INCOME FUND LIMITED	ORD NPV	JE00B44ZTP62	SHRS	Financials	Financial Services	16/08/2010	Jersey	GBX	£37.49	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SET3	ON15
ABD	ABERDEEN NEW DAWN INVESTMENT TRUST PLC	ORD 5P	GB00BBM56V29	SHRS	Financials	Financial Services	03/09/2013	United Kingdom	GBX	£252.61	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ANII	ABERDEEN NEW INDIA INVESTMENT TRUST PLC	ORD 25P	GB0006048770	SHRS	Financials	Financial Services	22/12/2004	United Kingdom	GBX	£254.89	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ANW	ABERDEEN NEW THAI INVESTMENT TRUST PLC	ORD 25P	GB0000059971	SHRS	Financials	Financial Services	21/06/2005	United Kingdom	GBX	£98.86	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SET3	ON15
ASCI	ABERDEEN SMALLER COMPANIES INCOME TRUST PLC	ORD 50P	GB0008063728	SHRS	Financials	Financial Services	17/09/1999	United Kingdom	GBX	£59.36	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
ASLI	ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC	ORD 1P	GB00BD9PXH49	SHRS	Financials	Financial Services	15/12/2017	United Kingdom	GBX	£204.38	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ASL	ABERFORTH SMALLER COMPANIES TRUST PLC	ORD 1P	GB0000066554	SHRS	Financials	Financial Services	31/10/2003	United Kingdom	GBX	£1,210.09	MAIN MARKET	Premium Equity Closed Ended Investment Funds	STMM	F25F
ASIT	ABERFORTH SPLIT LEVEL INCOME TRUST PLC	ORD 1P	GB00BYPBD394	SHRS	Financials	Financial Services	03/07/2017	United Kingdom	GBX	£183.40	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ASIZ	ABERFORTH SPLIT LEVEL INCOME TRUST PLC	ZDP 1P	GB00BYPBD519	SHRS	Financials	Financial Services	03/07/2017	United Kingdom	GBX	£50.65	MAIN MARKET	Standard Shares	SSQ3	SQS3
