ACIA	ACER INCORPORATED	GDR (REPR 5 SHS COM STK TWD10)(144A)	US0044341065	DPRS	Technology	Technology	27/03/2002	Taiwan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	MISC	INPE
ACID	ACER INCORPORATED	GDR (REPR 5 SHS COM STK TWD10)(REG S)	US0044342055	DPRS	Technology	Technology	27/09/2004	Taiwan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBE	IPHE
53GI	AFI DEVELOPMENT PLC	GDR (EACH REPR 1 ORD) (144A)	US00106J1016	DPRS	Financials	Real Estate	11/05/2007	Cyprus	USD	MAIN MARKET	Standard GDRs	MISC	INTM
AFID	AFI DEVELOPMENT PLC	GDR (EACH REPR 1 ORD) (REG S)	US00106J2006	DPRS	Financials	Real Estate	03/05/2007	Cyprus	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
78QZ	ALUMINIUM BAHRAIN B.S.C.	GDR (EACH REPR 1/5 ORD) (144A)	US0222081020	DPRS	Basic Materials	Basic Resources	30/11/2010	Bahrain	USD	MAIN MARKET	Standard GDRs	MISC	INTM
ALBH	ALUMINIUM BAHRAIN B.S.C.	GDR (EACH REPR 1/5 ORD) (REG S)	US0222082010	DPRS	Basic Materials	Basic Resources	30/11/2010	Bahrain	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
87SD	AMER GROUP HOLDING COMPANY S.A.E	GDR (EACH REPR 200 ORD) (144A)	US0235111087	DPRS	Financials	Real Estate	06/10/2017	Egypt	USD	ADMISSION TO TRADING ONLY		MISC	INAD
AMGR	AMER GROUP HOLDING COMPANY S.A.E	GDR (EACH REPR 200 ORD) (REG S)	US0235112077	DPRS	Financials	Real Estate	06/10/2017	Egypt	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
AMKD	AMTEK AUTO LD	GDR (EACH REPR 2 ORD INR2)(REG S)	US03233Q1058	DPRS	Consumer Goods	Automobiles & Parts	18/11/2004	India	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
ANAA	ANA HOLDINGS INC.	ADR EACH REPR 2 COM SHS LVL I	US0323501009	DPRS	Consumer Services	Travel & Leisure	09/05/2013	Japan	USD	ADMISSION TO TRADING ONLY		IOBU	INLU
AOMD	AO MOSENERGO	ADR (EACH REPR 50)(LVL1)	US0373763087	DPRS	Utilities	Utilities	27/09/2004	Russian Federation	USD	ADMISSION TO TRADING ONLY		IOBU	INNU
43DK	ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.	GDR (EACH REPR 5 ORDS) (144A)	US03847E1001	DPRS	Consumer Goods	Food & Beverage	21/09/2016	Egypt	USD	ADMISSION TO TRADING ONLY		MISC	INAD
DOMT	ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.	GDR (EACH REPR 5 ORDS) (REG S)	US03847E2090	DPRS	Consumer Goods	Food & Beverage	21/09/2016	Egypt	USD	ADMISSION TO TRADING ONLY		IOBE	INHE
ASCD	ASIA CEMENT CORPORATION	GDS (REPR 10 SHS TWD10)	US04515P1049	DPRS	Industrials	Construction & Materials	11/10/2004	Taiwan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBU	IPLN
AVGR	AVANGARDCO INVESTMENTS PUBLIC LIMITED	GDR (10 GDR'S REPR 1 ORD)	US05349V2097	DPRS	Consumer Goods	Food & Beverage	30/04/2010	Cyprus	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
AXB	AXIS BANK LIMITED	GDR EACH REPR 5 EQTY SHS	US05462W1099	DPRS	Financials	Banks	10/08/2007	India	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBE	IPHE
AXBA	AXIS BANK LIMITED	GDR EACH REPR 5 EQTY SHS(144A)	US05462W3079	DPRS	Financials	Banks	10/08/2007	India	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	MISC	INPE
43KV	BANK AUDI S.A.L.	GDR(REPR 1'COM'SHR)(144A)	US0605721044	DPRS	Financials	Banks	04/04/2014	Lebanon	USD	MAIN MARKET	Standard GDRs	MISC	INTM
BQAD	BANK AUDI S.A.L.	GDR(REPR 1'COM'SHR)(REG S)	US0605721127	DPRS	Financials	Banks	04/04/2014	Lebanon	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
BKM	BANKMUSCAT (S.A.O.G.)	GDR (EACH REPR 4 COM STK) (REG S)	US0637462005	DPRS	Financials	Banks	29/09/2005	Oman	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
BKMA	BANKMUSCAT (S.A.O.G.)	GDR (EACH REPR 4 COM STK) (144A)	US0637461015	DPRS	Financials	Banks	05/10/2005	Oman	USD	MAIN MARKET	Standard GDRs	MISL	ADPL
85PL	BANK PEKAO SA	GDS (EACH REPR 1 ORD PLN1)(144A)	US0644511075	DPRS	Financials	Banks	03/11/2000	Poland	USD	MAIN MARKET	Standard GDRs	MISC	INTM
BPKD	BANK PEKAO SA	GDS (REPR 1 ORD PLN1)(REG S)	US0644512065	DPRS	Financials	Banks	27/09/2004	Poland	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
69IR	BANQUE MAROCAINE DU COMMERCE EXTERIEUR	GDR (REPR 1/3 ORD MAD10)(144A)	US06674P1066	DPRS	Financials	Banks	09/07/1998	Morocco	USD	MAIN MARKET	Standard GDRs	MISC	INTM
BMED	BANQUE MAROCAINE DU COMMERCE EXTERIEUR	GDR (REPR 1/3 ORD MAD10)(REG S)	US06674P2056	DPRS	Financials	Banks	27/09/2004	Morocco	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
BXP	BEXIMCO PHARMACEUTICALS LIMITED	GDR (EACH REPR 1 ORD BDT10)(REGS)	US0885792061	DPRS	Health Care	Health Care	19/09/2006	Bangladesh	GBX	AIM		ASX1	AIMP
BLBD	BLOM BANK SAL	GDS REPR 1 ORD'B'SHS LBP10000(REG S)	US0936881095	DPRS	Financials	Banks	11/05/2006	Lebanon	USD	ADMISSION TO TRADING ONLY		IOBE	INHE
BYB	BYBLOS BANK S.A.L	GDR (EACH REPR 50 COM SHS) (REG S)	US12431A1016	DPRS	Financials	Banks	19/02/2009	Lebanon	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
CVH	CABLEVISION HOLDING S.A.	GDS (EACH REPR 1 CLS B SHR)	US12687E1047	DPRS			21/02/2018	Argentina	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
CFHS	CATHAY FINANCIAL HOLDING CO LTD	GDR (EACH REPR 10 TWD10)(REG S)	US14915V2051	DPRS	Financials	Insurance	27/09/2004	Taiwan	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
CGVA	CG POWER AND INDUSTRIAL SOLUTIONS LIMITED	GDR (EACH REPR 5 ORD INR2)(RULE 144A)	US12536P1021	DPRS	Industrials	Industrial Goods & Services	20/03/2017	India	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	MISC	INPD
CGVD	CG POWER AND INDUSTRIAL SOLUTIONS LIMITED	GDR (REPR 5 ORD INR2)(REG S)	US12536P2011	DPRS	Industrials	Industrial Goods & Services	20/03/2017	India	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBU	IPLN
SNP	CHINA PETROLEUM & CHEMICAL CORPORATION	ADS (EACH REPR 100'H'SHS CNY 1.00)	US16941R1086	DPRS	Oil & Gas	Oil & Gas	29/09/2004	China	USD	MAIN MARKET	Standard GDRs	IOBU	LLLU
CNSD	CHINA STEEL CORPORATION	GDS (REPR 20 SHS COM STK)	USY150411251	DPRS	Basic Materials	Basic Resources	23/03/2005	Taiwan	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
