AIND	AMUNDI ETF	AMUNDI ETF MSCI EUROPE INDUSTRIALS	FR0010688218	ETFS	07/06/2011	France	GBX	MAIN MARKET
ANRJ	AMUNDI ETF	AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF	FR0010930644	ETFS	07/06/2011	France	GBX	MAIN MARKET
C8M	AMUNDI ETF	AMUNDI ETF MSCI EUROPE MATERIALS	FR0010791137	ETFS	07/06/2011	France	GBX	MAIN MARKET
CB5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE BANKS UCITS ETF	FR0010688176	ETFS	07/06/2011	France	GBX	MAIN MARKET
CD6	AMUNDI ETF	AMUNDI ETF MSCI EUROPE CONSUMER DISC	FR0010688184	ETFS	07/06/2011	France	GBX	MAIN MARKET
CG1	AMUNDI ETF	AMUNDI ETF DAX UCITS ETF DR	FR0010655712	ETFS	09/05/2011	France	GBX	MAIN MARKET
CH5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE HEALTHCARE	FR0010688192	ETFS	07/06/2011	France	GBX	MAIN MARKET
CI1	AMUNDI ETF	AMUNDI ETF MSCI ITALY UCITS ETF	FR0010655720	ETFS	09/05/2011	France	GBX	MAIN MARKET
CS1	AMUNDI ETF	AMUNDI ETF MSCI SPAIN UCITS ETF	FR0010655746	ETFS	09/05/2011	France	GBX	MAIN MARKET
CS5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE CONSUMER STP	FR0010688168	ETFS	07/06/2011	France	GBX	MAIN MARKET
CT5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE TELECOM SERVICES	FR0010713735	ETFS	07/06/2011	France	GBX	MAIN MARKET
CU5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE UTILITIES	FR0010688234	ETFS	07/06/2011	France	GBX	MAIN MARKET
CUK	AMUNDI ETF	AMUNDI ETF MSCI UK UCITS ETF	FR0010655761	ETFS	09/05/2011	France	GBX	MAIN MARKET
EPRA	AMUNDI ETF	AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR	LU1437018838	ETFS	29/06/2017	France	GBX	MAIN MARKET
ESM	AMUNDI ETF	AMUNDI ETF EURO STOXX SMALL CAP	FR0010900076	ETFS	07/06/2011	France	GBX	MAIN MARKET
GAGG	AMUNDI ETF	AMUNDI INDEX BARCLAYS GLOBAL AGG 500M DR	LU1437024729	ETFS	29/06/2017	France	GBX	MAIN MARKET
GGOV	AMUNDI ETF	AMUNDI J.P. MORGAN GLOBAL GOVIES DR	LU1437016204	ETFS	29/06/2017	France	GBX	MAIN MARKET
MWRD	AMUNDI ETF	AMUNDI INDEX MSCI WORLD DR	LU1437016972	ETFS	29/06/2017	France	GBX	MAIN MARKET
NRAM	AMUNDI ETF	AMUNDI INDEX MSCI NORTH AMERICA DR	LU1437016543	ETFS	29/06/2017	France	GBX	MAIN MARKET
500G	AMUNDI INDEX SOLUTIONS	AMUNDI S&P 500	LU1681049018	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
500U	AMUNDI INDEX SOLUTIONS	AMUNDI S&P 500	LU1681049018	ETFS	22/03/2018	Luxembourg	USD	MAIN MARKET
AASG	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EM ASIA	LU1681044563	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
AASU	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EM ASIA	LU1681044563	ETFS	22/03/2018	Luxembourg	USD	MAIN MARKET
AEXK	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EUROPE EX UK	LU1681043326	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
ALAG	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EM LATIN AMERICA	LU1681045297	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
ALAU	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EM LATIN AMERICA	LU1681045297	ETFS	22/03/2018	Luxembourg	USD	MAIN MARKET
ANXG	AMUNDI INDEX SOLUTIONS	AMUNDI NASDAQ-100	LU1681038326	ETFS	18/04/2018	Luxembourg	GBX	MAIN MARKET
ANXU	AMUNDI INDEX SOLUTIONS	AMUNDI NASDAQ-100	LU1681038326	ETFS	18/04/2018	Luxembourg	USD	MAIN MARKET
AUEG	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EMERGING MARKETS	LU1681045453	ETFS	18/04/2018	Luxembourg	GBX	MAIN MARKET
AUEM	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EMERGING MARKETS	LU1681045453	ETFS	18/04/2018	Luxembourg	USD	MAIN MARKET
BRZ	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI BRAZIL UCITS ETF	LU1437024992	ETFS	13/12/2016	Luxembourg	USD	MAIN MARKET
BYBG	AMUNDI INDEX SOLUTIONS	AMUNDI S&P 500 BUYBACK	LU1681048556	ETFS	31/01/2018	Luxembourg	GBX	MAIN MARKET
BYBU	AMUNDI INDEX SOLUTIONS	AMUNDI S&P 500 BUYBACK	LU1681048556	ETFS	31/01/2018	Luxembourg	USD	MAIN MARKET
