1GIS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GILTS 10Y 1X SHORT DAILY ETP	IE00BF4TW560	ETCS			11/12/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
1GOS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 1X SHORT DAILY ETP	IE00B94QKW89	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
1PAS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST PALLADIUM 1X SHORT DAILY ETP	IE00B94QLR02	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
2GOL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 2X LEVERAGE DAILY ETP	IE00B94QKS44	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
2GOS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 2X SHORT DAILY ETP	IE00B94QKT50	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
2JAL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST TOPIX 2X LEVERAGE DAILY ETP	IE00BBGBF537	ETCS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
2MCL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 250 2X LEVERAGE DAILY ETP	IE00B94QKJ52	ETCS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
2NGL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NAT GAS 2X LEVERAGE DAILY ETP	IE00B94QKX96	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
2NGS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NAT GAS 2X SHORT DAILY ETP	IE00B94QL251	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
2OIL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 2X LEVERAGE DAILY ETP	IE00BVFZGG42	ETCS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
2OIS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 2X SHORT DAILY ETP	IE00BVFZGH58	ETCS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
2OLI	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 2X LEVERAGE DAILY ETP	IE00BVFZGG42	ETCS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLM
2OSI	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 2X SHORT DAILY ETP	IE00BVFZGH58	ETCS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLM
2PAL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST PALLADIUM 2X LEVERAGE DAILY ETP	IE00B94QLN63	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
2SIL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SILVER 2X LEVERAGE DAILY ETP	IE00B94QL699	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
2SIS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SILVER 2X SHORT DAILY ETP	IE00B94QL921	ETCS			05/07/2013	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
2UKL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 100 2X LEVERAGE DAILY ETP	IE00B94QKC83	ETCS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
3BLR	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BRENT OIL 3X LEVERAGE DAILY ETP	IE00BYTYHS72	ETCS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLM
3BRL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BRENT OIL 3X LEVERAGE DAILY ETP	IE00BYTYHS72	ETCS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
3BRS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BRENT OIL 3X SHORT DAILY ETP	IE00BYTYHR65	ETCS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
3BSR	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BRENT OIL 3X SHORT DAILY ETP	IE00BYTYHR65	ETCS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLM
3DES	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SHORTDAX 3X DAILY ETP SECS30/11/62	IE00B8GKPP93	ETCS			13/12/2012	30/11/2062	Ireland	EUR	MAIN MARKET	Standard Debt	ETCS	ETCL
3GIS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GILTS 10Y 3X SHORT DAILY ETP	IE00BKS8QQ35	ETCS			05/08/2014		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3GOL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 3X LEVERAGE DAILY ETP	IE00B8HGT870	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3GOS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 3X SHORT DAILY ETP	IE00B6X4BP29	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3HCL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST COPPER 3X LEVERAGE DAILY ETP	IE00B8JVMZ80	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3HCS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST COPPER 3X SHORT DAILY ETP	IE00B8KD3F05	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
