1JAS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST TOPIX 1X SHORT DAILY ETP	IE00BBGBF420	ETNS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
1MCS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 250 1X SHORT DAILY ETP	IE00BBGBF313	ETNS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
2UKS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 100 2X SHORT DAILY ETP	IE00B94QKF15	ETNS			05/07/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
3BAL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX BANKS 3X LEVERAGE DAILY	IE00BLS09N40	ETNS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BAS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST EURO STOXX BANKS 3X SHORT DAILY	IE00BLS09P63	ETNS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BTL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BTP 10Y 3X LEVERAGE DAILY	IE00BKT09149	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BTS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BTP 10Y 3X SHORT DAILY	IE00BKS8QM96	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BUL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BUND 10Y 3X LEVERAGE DAILY	IE00BKT09255	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3BUS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BUND 10Y 3X SHORT DAILY	IE00BKS8QN04	ETNS			15/03/2017		Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
3DEL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST LEVDAX 3X DAILY ETP SECS 30/11/62	IE00B878KX55	ETNS			13/12/2012	30/11/2062	Ireland	EUR	MAIN MARKET	Standard Debt	ETCS	ETCL
