12NJ	BARCLAYS BANK PLC	IL WRT 23/03/22	GB00B7CY1H21	SDRV	Securitised derivatives			23/03/2012	23/03/2022	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14YF	BARCLAYS BANK PLC	IL WRT 01/02/19	GB00B8MNJ385	SDRV	Securitised derivatives			07/12/2012	01/02/2019	United Kingdom	GBP	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
14YG	BARCLAYS BANK PLC	IL WRT 01/02/19	GB00B8MNJ492	SDRV	Securitised derivatives			07/12/2012	01/02/2019	United Kingdom	GBP	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15DN	BARCLAYS BANK PLC	IL WRT 08/02/19	GB00B8MNHL21	SDRV	Securitised derivatives			08/02/2013	08/02/2019	United Kingdom	GBP	MAIN MARKET	Standard Debt	CWTR	UIDW
15JQ	BARCLAYS BANK PLC	IDX LKD WT 07/11/18	GB00B8MNJK53	SDRV	Securitised derivatives			25/10/2012	07/11/2018	United Kingdom	GBP	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15JR	BARCLAYS BANK PLC	IDX LKD WT 07/11/18	GB00B8MNJJ49	SDRV	Securitised derivatives			25/10/2012	07/11/2018	United Kingdom	GBP	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15JT	BARCLAYS BANK PLC	IDX LKD WT 07/11/18	GB00B8MNJM77	SDRV	Securitised derivatives			25/10/2012	07/11/2018	United Kingdom	USD	MAIN MARKET	Standard Debt	CWTR	UIDW
15JV	BARCLAYS BANK PLC	IDX LKD WT 07/11/18	GB00B8MNJL60	SDRV	Securitised derivatives			25/10/2012	07/11/2018	United Kingdom	USD	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
15KG	BARCLAYS BANK PLC	IDX LKD WT 30/10/18	GB00B8MNJH25	SDRV	Securitised derivatives			30/10/2012	30/10/2018	United Kingdom	GBP	MAIN MARKET		CWTR	UIDW
17JO	BARCLAYS BANK PLC	IDX LKD WT 23/11/18	GB00B8MNJ617	SDRV	Securitised derivatives			30/11/2012	23/11/2018	United Kingdom	GBP	MAIN MARKET	Standard Debt	CWTR	UIDW
17OG	BARCLAYS BANK PLC	IDX LKD WT 22/02/19	GB00B8MNHK14	SDRV	Securitised derivatives			22/02/2013	22/02/2019	United Kingdom	GBP	MAIN MARKET	Standard Securitised Derivatives	CWTR	UIDW
