3i:	III
888 Holdings:	888
A.G. Barr:	BAG
Abcam:	ABC
Acer (company):	ACID
Admiral Group:	ADM
Agriterra:	AGTA
Air China:	AIRC
Alent:	ALNT
Allied Irish Banks:	AIBG
Alumasc Group:	ALU
Anglesey Mining:	AYM
Anglo American plc:	AAL
Anglo Pacific Group:	APF
Antofagasta PLC:	ANTO
AO World:	AO.
Ashtead Group:	AHT
ASOS.com:	ASC
Associated British Engineering:	ASBE
Associated British Foods:	ABF
Aston Martin:	AML
AstraZeneca:	AZN
Asus:	ASKD
Atlas Mara Limited:	ATMA
Avast:	AVST
Aveva:	AVV
Aviva:	AV.
Axis Bank:	AXBC
Babcock International:	BAB
BAE Systems:	BA.
Baillie Gifford Japan Trust:	BGFD
Baillie Gifford Shin Nippon:	BGS
Balfour Beatty:	BBY
Bank of Cyprus:	BOCH
Bank of Georgia:	BGEO
Jack Barclay Bentley:Barclays:	BARC
Barratt Developments:	BDEV
BBA Aviation:	BBA
Beazley Group:	BEZ
Begbies Traynor:	BEG
Bellway:	BWY
Berendsen:	BRSN
Berkeley Group Holdings:	BKG
BHP:	BLT
Big Yellow Group:	BYG
Bioquell:	BQE
Bisichi Mining:	BISI
Bloomsbury Publishing:	BMY
Bodycote:	BOY
Bovis Homes Group:	BVS
BP:	BP
Brewin Dolphin:	BRW
British American Tobacco:	BATS
British Land:	BLND
Britvic:	BVIC
N Brown Group:	BWNG
BT Group:	BT.A
BTG plc:	BTG
Caffyns:	CFYN
Cairn Energy:	CNE
Capita:	CPI
Card Factory:	CARD
Carillion:	CLLN
Carnival Corporation & plc:	CCL
Carpetright:	CPR
Catlin Group:	CGL
Centamin:	CEY
Centaur Media:	CAU
Centrica:	CNA
Charles Stanley Group:	CAY
City of London Group:	CIN
Close Brothers Group:	CBG
Cobham plc:	COB
Coca-Cola Hellenic Bottling Company:	CCH
Colt Technology Services:	COLT
Compass Group:	CPG
Computacenter:	CCC
Connect Group:	CNCT
Constantine Group:ConvaTec:	CTEC
Cosalt:	CSLT
Costain Group:	COST
Countrywide:	CWD
CPL Resources:	CPS
Cranswick plc:	CWK
Crest Nicholson:	CRST
Creston plc:	CRE
CRH plc:	CRH
Croda International:	CRDA
Croma Security:	CSSG
CSR (company):	CSR
CYBG plc:	CYBG
Daejan Holdings:	DJAN
Daily Mail and General Trust:	DMGT
Dairy Crest:	DCG
Dairy Farm International Holdings:	DFIB
DCC plc:	DCC
De La Rue:	DLAR
